cons,anio_reg,nombre_estacion,direccion,codigo_postal,ciudad,estado,telefono,latitude,longitude,electrolineras_totales,cargadores_01,tipo_01,potencia_01,cargadores_02,tipo_02,potencia_02,cargadores_03,tipo_03,potencia_03,cargadores_04,tipo_04,potencia_04,cargadores_05,tipo_05,potencia_05
1,2026,Fiesta Americana Aguascalientes,Calle Los Laureles S/N Las Flores,20020,Aguascalientes,Aguascalientes,52 449 910 0500,20.0495787,-98.7629176,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
2,2026,Fiesta Inn Aguascalientes,"Calle Mahatma Gandhinumero 302 Sur Prados de Villasuncion, Desarrollo Especial Villa Asuncion,",20280,Aguascalientes,Aguascalientes,52 449 149 0200,21.8683525,-102.2954056,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
3,2026,One Aguascalientes San Marcos,Los Laureles No. 404 Fracc. Las Flores,20220,Aguascalientes,Aguascalientes,52 449 994 6660,19.3530754,-99.2022764,3,3,Tesla D,16,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
4,2026,Aguascalientes Supercharger,Km. 11 Carr. Panamericana,20349,Aguascalientes,Aguascalientes,01 800 228 8145,20.5158081,-100.9508514,6,6,Tesla SC,150,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
5,2026,Electronity Plazita Emporium AGS,"Blvd. Luis Donaldo Colosio Murrietanumero 400, Valle del Campestre, 20110 Aguascalientes, Ags.",20110,Aguascalientes,Aguascalientes,sin dato,21.9249414,-102.3106885,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
6,2026,Almacen del Biffe,"Blvd. Luis Donaldo Colosio Murrieta 600, Villas de San Nicolas, 20115 Aguascalientes, Ags., Mexico",20115,Aguascalientes,Aguascalientes,sin dato,21.9252716,-102.3017848,2,2,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
7,2026,BMW Soni Aguascalientes,"Blvd. Luis Donaldo Colosio Murrieta 360, 20115 Aguascalientes, MX",20110,Aguascalientes,Aguascalientes,sin dato,21.9251172,-102.3083626,2,2,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
8,2026,BMW Surman Motors Torreon,"Blvd. Independencia s/n, 27010 Torreon, MX",27010,Aguascalientes,Aguascalientes,sin dato,25.5665177,-103.4260371,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
9,2026,Clover Casino,"Blvd. Luis Donaldo Colosio Murrieta 702, Desarrollo Especial Galerias, 20110 Aguascalientes, Ags., Mexico",20110,Aguascalientes,Aguascalientes,sin dato,21.9255217,-102.2968096,1,1,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
10,2026,Correduria 12 Aguascalientes Lic. Saul Favela (Coming Soon),"Sierra del Humo 103-INT 04, Bosques del Prado Sur, 20130 Aguascalientes, Ags., Mexico",20130,Aguascalientes,Aguascalientes,sin dato,21.913677,-102.3115938,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
11,2026,Fiesta Americana,"Calle Los Laureles S/N, Las Flores, Desarrollo Especial Zona de la Feria, 20020 Aguascalientes, Ags., Mexico",20220,Aguascalientes,Aguascalientes,sin dato,21.8740323,-102.3060874,3,1,SAEJ1772,7,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
12,2026,JAC Aguascalientes,"Prol I. Zaragoza No. 102 esq, Blvd. Luis Donaldo Colosio Murrieta Fracc, Valle de las Trojes, 20115 Aguascalientes",20115,Aguascalientes,Aguascalientes,52 449 498 9828,21.9254239,-102.3049087,2,1,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
13,2026,Mercedes Benz Automotriz Romo,"Blvd. Luis Donaldo Colosio Murrieta LB, Jardines de la Concepcion I, 20120 Aguascalientes, Ags., Mexico",20120,Aguascalientes,Aguascalientes,sin dato,21.9244547,-102.3091435,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
14,2026,Museo Descubre,"Av. del Parque 1108, Desarrollo Especial Quinta Real, 20276 Aguascalientes, Ags., Mexico",29359,Aguascalientes,Aguascalientes,sin dato,21.8568504,-102.2884401,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
15,2026,Ramada encore,"Aguascalientes - Encarnacion de Diaz 3005, San Pedro, 20280 Aguascalientes, Ags., Mexico",20393,Aguascalientes,Aguascalientes,sin dato,21.8418726,-102.2910991,2,2,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
16,2026,Suecia Car Aguascalientes,"Blvd. Luis Donaldo Colosio Murrieta 741, Col, Trojes de Alonso, 20462 Aguascalientes, Ags.",20462,Aguascalientes,Aguascalientes,sin dato,21.9250776,-102.2945181,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
17,2026,Nissan Isla San Marcos,"Pirules, Aguascalientes, AG, 20210",20210,Aguascalientes,Aguascalientes,sin dato,21.8702776,-102.3116489,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
18,2026,Nissan Aguascalientes Lopez Y Gonzalez,"1327 Blvd. Jose Ma. Chavez No., Aguascalientes , AG, 20270",20270,Aguascalientes,Aguascalientes,sin dato,21.8620277,-102.2946898,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
19,2026,Universidad Autonoma De Aguascalientes,"940 Av. Universidad, Aguascalientes, AG, 20116",20116,Aguascalientes,Aguascalientes,sin dato,21.914165,-102.3163244,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
20,2026,Bajamar,"Ensenada, Carretera Tijuana - Ensenada Km. 77.5 Bajamar",22760,Ensenada,Baja California,888 311 60 76,31.865716,-116.6621833,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
21,2026,Bruma Valle de Guadalupe,Carretera Tecate Ensenada Km. 74 Valle de Guadalupe,22760,Ensenada,Baja California,52 1 646 189 7788,32.1308238,-116.5259559,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
22,2026,Cantina Hussongs,Av. Ruiznumero 113 Zona Centro,22800,Ensenada,Baja California,52 646 178 3210,31.8650281,-116.6287723,3,3,Tesla D,11,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
23,2026,Casa de Piedra Vinicola,Carretera Ensenada Tecate Kilometro 93.5 San Antonio de las Minas,22761,Ensenada,Baja California,52 646 156 5267,31.9712359,-116.6573615,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
24,2026,Cuatro Cuatros,"El Tigre , Carretera libre Tijuana-Ensenada Km. 89 El Sauzal de Rodriguez",22760,Ensenada,Baja California,01 646 174 6789,31.865716,-116.6621833,3,3,Tesla D,13,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
25,2026,Encuentro Guadalaupe,Carretera Tecate- Ensenada Km. 75 Valle de Guadalupe,22750,Ensenada,Baja California,52 646 155 2775,32.11059,-116.551917,3,3,Tesla D,8,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
26,2026,Entre Santos Bodegas de Santo Tomas,Carretera Ensenada - Tecate Km. 94 San Antonio de las Minas,22800,Ensenada,Baja California,52 646 174 0819,31.9734753,-116.6554439,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
27,2026,Estero Beach,Calle Playas del Estero S/N Ex-Ejido Chapultepec,22785,Ensenada,Baja California,52 646 176 6225,31.7833481,-116.5764676,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
28,2026,Fiesta Inn Mexicali,Calzada Adolfo Lopez Mateos 1029 Industrial Centro Civico,21000,Mexicali,Baja California,52 686 837 3300,32.6455844,-115.4691409,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
29,2026,Fiesta Inn Tijuana Otay Aeropuerto,Rampa Aeropuerto 16000 La Pechuga,22000,Tijuana,Baja California,52 664 979 1900,32.5310186,-116.9517926,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
30,2026,Gamma by Fiesta Inn Tijuana,Blvd. Tijuana 17226 Col. Otay Constituyentes,22457,Tijuana,Baja California,52 664 973 7600,32.5297302,-116.9462392,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
31,2026,Gran Via Mexicali,Calzada Cetys Manuel Gomez Morin,21254,Mexicali,Baja California,52 686 564 5013,32.6546016,-115.4121723,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
32,2026,Holiday Inn Ensenada,Blancarte No. 151 Col. Centro,22800,Ensenada,Baja California,52 646 977 6602,31.8615583,-116.6221471,3,3,Tesla D,11,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
33,2026,Hotel Coral & Marina,Carretera Tijuana-Ensenada Km.103numero 3421 Zona Playitas,22860,Ensenada,Baja California,52 646 175 0000,31.8890775,-116.6915592,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
34,2026,Hotel Las Rosas & Spa,Carretera Tijuana - Ensenada Km 105. 5 El Sauzal,22760,Ensenada,Baja California,52 646 174 4310,31.8703224,-116.6774317,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
35,2026,Hotel Pueblo Amigo,9211 Via Oriente Zona del Rio,22320,Tijuana,Baja California,52 664 624 2700,32.536876,-117.026629,3,3,Tesla D,8,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
36,2026,Hotel Punta Morro,Carretera Tijuana-Ensenada Km. 106,22870,Ensenada,Baja California,52 646 178 3507,31.86436,-116.6684754,3,3,Tesla D,8,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
37,2026,Hyatt Place Tijuana,"10488 Blvd. Agua Caliente 10488, Colonia Aviacion",22014,Tijuana,Baja California,sin dato,32.5154382,-117.0116477,2,2,Tesla D,19,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
38,2026,Jaz-Baja,"Camino Vecinal sin nombre, fracc. 6B de la fracc. 5 L9 sn El Porvenir",22755,Ensenada,Baja California,52 646 55 2237,16.1006004,-93.7666293,1,1,Tesla D,11,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
39,2026,La Cabana Del Abuelo,Tijuana-Mexicali Km. 71.5,21505,Tecate,Baja California,52 686 575 0152,32.5817865,-115.579835,3,3,Tesla D,13,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
40,2026,Las Nubes Bodegas y Vinedos,Callejon Emiliano Zapata Ejido el Porvenir,22750,Ensenada,Baja California,52 646 156 8037,32.0795599,-116.6535801,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
41,2026,Malva Restaurante,Km 96 carretera Ens Tecate,22755,Ensenada,Baja California,52 646 155 3085,32.563609,-116.6256752,1,1,Tesla D,13,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
42,2026,Marina Puerto Salina,Autopista Tijuana Ensenada KM 73 Abelardo L. Rodriguez,22765,Ensenada,Baja California,52 646 155 4188,31.865716,-116.6621833,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
43,2026,Marina San Felipe,Carretera San Felipe km 4.5 Fondeport,21850,Mexicali,Baja California,52 686 577 1455,30.9919013,-114.8281873,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
44,2026,Mision Catavina,Carretera Transpeninsular 179 Conjunto Residencial Catavina,22965,Ensenada,Baja California,52 200 124 9123,32.5311141,-117.0113938,2,2,Tesla D,13,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
45,2026,Mision Santa Maria,Camino Playa Santa Maria S/N San Quintin,22930,Ensenada,Baja California,52 616 165 9008,30.4125602,-115.8884034,2,2,Tesla D,13,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
46,2026,Monte Xanic Bodega Vini-cola,Calle Francisco Zarco S/N Col. Valle de Guadalupe,22785,Ensenada,Baja California,52 800 717 4633,32.100357,-116.5802068,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
47,2026,Restaurante Heidelberg,Ave. Fco. I. Madero y Calle H S/N Nueva,21100,Mexicali,Baja California,52 686 554 2022,32.6658139,-115.4735632,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
48,2026,Rosarito Beach Hotel,Blvd. Benito Juarez 31 Col Centro,22710,Playas de Rosarito,Baja California,52 800 265 2322,20.2723597,-97.9641283,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
49,2026,Santuario Diegueno,798 Rio Yaqui,21420,Tecate,Baja California,52 665 654 4777,32.5763102,-116.6199124,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
50,2026,Shimul,Rancho Pet'ay,22750,Ensenada,Baja California,52 646 177 2108,32.1045587,-116.623395,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
51,2026,Villa del Valle - Valle de Guadalupe,Rancho San Marcos Toros Pintos S/N Km 88.300 Francisco Zarco,22750,Ensenada,Baja California,52 646 156 8007,32.0956281,-116.572572,3,3,Tesla D,8,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
52,2026,Vinas de Garza,Carretera Tecate - Ensenada Km 87 Valle de Guadalupe,22650,Tijuana,Baja California,52 646 175 8883,32.0261242,-116.615324,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
53,2026,Vinicola Decantos,"Rancho San Miguel Fraccion A, S/N Ejido El Porvenir",22755,Ensenada,Baja California,52 646 688 1019,32.0756669,-116.6243396,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
54,2026,"Ensenada, BCS",Km.103numero 3421 Zona Playitas,22860,Ensenada,Baja California,01 800 228 8145,31.8654468,-116.662336,6,6,Tesla SC,150,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
55,2026,Asao Restaurant Tecate,798 Rio Yaqui 21420,21420,Tecate,Baja California,sin dato,32.5763102,-116.6199124,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
56,2026,Electro Solar,499 Calle Primera Y/O Carretera Tijuana 22760,22760,Ensenada,Baja California,sin dato,31.894576,-116.6979683,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
57,2026,Entre Santos (bodegas de Santo Tomas),322 Berilio 22766,22766,Ensenada,Baja California,sin dato,31.9761581,-116.6605862,3,2,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
58,2026,Estacionamiento Cantina Hussongs,110 Alvaro Obregon 22800,22800,Ensenada,Baja California,sin dato,31.8657349,-116.6293386,2,1,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
59,2026,Fudura BV,9250 Boulevard General Rodolfo Sanchez Taboada 22010,22010,Tijuana,Baja California,sin dato,32.5284781,-117.02682,3,2,Tesla D,11.5,1,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
60,2026,Holiday Inn Express & Suites Ensenada,180 Alvarado 22800,22800,Ensenada,Baja California,sin dato,31.8620849,-116.6226074,4,2,Tesla D,11.5,2,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
61,2026,La Cabana del Abuelo,Tijuana-Mexicali 21510,21510,Tecate,Baja California,sin dato,32.5228875,-116.0619648,3,2,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
62,2026,Las Nubes,Via sin nombre 22766,22766,Ensenada,Baja California,sin dato,20.6150875,-103.4777027,1,1,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
63,2026,Nissan Tijuana Insurgentes,20 Avenida de los Insurgentes 22226,22226,Tijuana,Baja California,sin dato,32.4722611,-116.9185099,1,1,CCS2,50,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
64,2026,Adobe Guadalupe,"Parcela A-1 s/n Rusa de Guadalupe, Ensenada, Baja California, Mexico, 22750",22750,Ensenada,Baja California,sin dato,32.0951517,-116.57905,4,1,SAE J1772,7,3,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
65,2026,ALO Valle De Guadalupe,"Calle Cananea, Manzana 14, Lote 7, Fraccionamiento Las Lomas, 22750 Ensenada, B.C., Mexico",22750,Ensenada,Baja California,52 55 1080 3931,31.8557021,-116.6057392,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
66,2026,Baja California Center,"carretera escenica Tijuana Ensenada 1029, Playas de Rosarito",1029,Tijuana,Baja California,52 664 609 7900,32.350752,-117.0541254,2,1,SAEJ1772,7,1,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
67,2026,Baron Balche,"39X8H7 Rancho Dinuwa, Baja California, Mexico",22750,Rancho Dinuwa,Baja California,sin dato,32.1031813,-116.6313266,1,1,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
68,2026,Bodegas F. Rubio - Vinicola y Restaurante,"Callejon de la Liebre 70, 22753 Ejido del Centro, B.C., Mexico",22755,Ensenada,Baja California,sin dato,32.0873091,-116.6493587,1,1,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
69,2026,Casa de Piedra Vinicola,"Carretera Ensenada Tecate Kilometro 93.5 San Antonio de las Minas, Ensenada, Baja California, Mexico, 22761",22761,Ensenada,Baja California,sin dato,31.9712359,-116.6573615,3,2,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
70,2026,City Express Plus Ensenada,"Carr. Transpeninsular 104, 22760 El Sauzal, B.C., Mexico",22760,Ensenada,Baja California,sin dato,31.8800312,-116.6842316,2,2,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
71,2026,Corazon de Tierra,"Ensenada‎ BC , Mexico",22750,Ensenada,Baja California,52 646 977 5538,31.8557021,-116.6057392,1,1,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
72,2026,El Museo Del Vino,"La Ruta del Vino, Francisco Zarco, 22756 El Porvenir, B.C., Mexico",22756,Ensenada,Baja California,sin dato,32.1015164,-116.5629933,1,1,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
73,2026,ElectroSolar,"Carretera Tijuana-Ensenada km 103, El Sauzal, Ensenada, Mexico",22760,El Sauzal,Baja California,52 646 175 8064,31.8890775,-116.6915592,1,1,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
74,2026,Encuentro Guadalupe,"Carretera Tecate- Ensenada Km. 75, Valle de Guadalupe, 22750 Ensenada, B.C.",11059,Ensenada,Baja California,sin dato,32.11059,-116.551917,3,1,SAEJ1772,7,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
75,2026,Estero Beach Hotel and Resort,"Calle Playas del Estero S/N, Ex-Ejido Chapultepec, 22785 Ensenada, B.C.",22785,Ensenada,Baja California,sin dato,31.7833481,-116.5764676,3,2,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
76,2026,Farmacia Roma,"CARR LIBRE TIJ-ENS 2901, local 1, Villas de Rosarito, 22713 Rosarito, B.C., Mexico",22713,Playas de Rosarito,Baja California,sin dato,32.4006411,-117.0517298,1,1,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
77,2026,Hotel San Nicolas,"Blvd. las Dunas 1673, Bahia Ensenada, 22880 Ensenada, B.C., Mexico",22880,Ensenada,Baja California,sin dato,31.8575706,-116.6171371,1,1,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
78,2026,La Villa del Valle,"Rancho San Marcos Toros Pintos S/N Km 88.300, Francisco Zarco, 22750 Ensenada, B.C.",22750,Ensenada,Baja California,sin dato,32.0403382,-116.6514826,2,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
79,2026,Las Nubes Bodegas y Vinedos,"Callejon Emiliano Zapata Ejido el Porvenir, Valle de Guadalupe, Baja California, Mexico, 22750",22753,Valle de Guadalupe,Baja California,sin dato,32.0480583,-116.6173312,2,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
80,2026,Marina Puerto Salina,"Autopista Tijuana Ensenada KM 73 Abelardo L. Rodriguez, Ensenada, Baja California, Mexico, 22765",22765,Ensenada,Baja California,sin dato,31.865716,-116.6621833,3,2,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
81,2026,Marina San Felipe Resort,"Carretera San Felipe km 4.5 Fondeport, San Felipe, Baja California, Mexico, 21850",21850,Mexicali,Baja California,sin dato,31.0304304,-114.8581823,3,2,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
82,2026,Mision Santa Maria,"Camino Playa Santa Maria S/N San Quintin, Ensenada, Baja California, Mexico, 22930",22930,Ensenada,Baja California,52 616 165 9008,31.8557021,-116.6057392,2,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
83,2026,Monte Xanic Bodega Vinicola,"Calle Francisco Zarco S/N, Col. Valle de Guadalupe, 22785 Ensenada, B.C.",22785,Ensenada,Baja California,sin dato,31.7861564,-116.6022684,3,1,SAEJ1772,7,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
84,2026,Nissan Ensenada,"Avenida Reforma 727–845, Valle Dorado, 22890 Ensenada, BC, Mexico",22890,Ensenada,Baja California,sin dato,31.8321449,-116.600623,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
85,2026,Oficinas En El Parque,"Torre del Parque 2, Blvd. Antonio L. Rodriguez 1884, Centro, 21000 Monterrey, N.L., Mexico",21000,Mexicali,Baja California,sin dato,25.6708397,-100.3773668,3,3,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
86,2026,Restaurante Ophelia,"Colinas Riverside 102, El Sauzal, 22760 El Sauzal, B.C., Mexico",22760,Ensenada,Baja California,52 646 175 8365,31.8872492,-116.6892188,1,1,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
87,2026,Rosarito Beach Hotel,"Blvd. Benito Juarez 31, Centro, Playas Rosarito, 22710 Rosarito, BC, Mexico",22700,Playas de Rosarito,Baja California,sin dato,32.3401665,-117.0565276,3,1,SAEJ1772,7,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
